,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
284,-130334.81676211816,10269.306307921126,9076.024718882074,HG00705,EAS,CHS,"Southern Han Chinese, China"
285,-106631.58906804647,-1064.853292288274,-1779.8083316461089,HG00707,EAS,CHS,"Southern Han Chinese, China"
286,-142818.1715003335,25400.97764020609,-8059.383287350897,HG00708,EAS,CHS,"Southern Han Chinese, China"
287,-149546.6300596296,13643.289033979281,-10115.592592827106,HG00717,EAS,CHS,"Southern Han Chinese, China"
288,-142455.44571038356,12845.886414795712,2772.802043599063,HG00728,EAS,CHS,"Southern Han Chinese, China"
289,-139276.0289616588,12363.946281062403,7720.652108729408,HG00729,EAS,CHS,"Southern Han Chinese, China"
290,-134116.22391055885,7284.0254612003,6996.957661772433,HG00759,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
291,-125244.20934751417,5680.5628237655865,8735.197112558173,HG00766,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
292,-107078.21222576025,2061.876674354976,4435.136989556555,HG00844,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
293,-126094.34620462368,14849.30916311859,-2032.497925703563,HG00851,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
294,-110365.2024878127,-236.78719046357736,4690.099539308709,HG00864,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
295,-110527.58132086389,9886.665211894819,-13418.889089427114,HG00867,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
296,-120240.84044190687,1108.7260798866678,-17835.662505651693,HG00879,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
297,-141202.76256211213,8581.961733811624,4540.140101911295,HG00881,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
298,-136086.05657395814,15409.526232574693,-1291.5667777547415,HG00956,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
299,-120431.7620793915,7976.9766200948025,17875.355520016277,HG00978,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
300,-124054.13979271207,8659.893189920364,-1136.1200018831132,HG00982,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
301,-142041.05958414034,8290.857260656921,-2794.1815302194454,HG01028,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
302,-119654.96698917156,1175.4471647109017,10679.730400327826,HG01029,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
303,-123965.5534263413,3996.342810042777,16746.72380271692,HG01031,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
304,-133918.31738872052,13206.075528937157,8301.704498093295,HG01046,EAS,CDX,"Chinese Dai in Xishuangbanna, China"
305,99490.90978091369,21956.26742243799,2561.668791246919,HG01334,EUR,GBR,British in England and Scotland
306,74015.51068860773,16561.73025038853,7857.941243837212,HG01500,EUR,IBS,Iberian populations in Spain
307,105443.03499664848,17551.830154273444,2809.8661523982537,HG01501,EUR,IBS,Iberian populations in Spain
308,109990.40100384079,33201.708041295526,-8805.34127438502,HG01503,EUR,IBS,Iberian populations in Spain
309,81523.46746068254,23779.448889315092,8439.102983064215,HG01504,EUR,IBS,Iberian populations in Spain
310,103992.41954944668,32746.261064188802,-9733.988968808853,HG01506,EUR,IBS,Iberian populations in Spain
311,81914.63709024122,22103.517676412772,11307.123991652074,HG01507,EUR,IBS,Iberian populations in Spain
312,108997.2486618843,26198.440850354593,-14307.806535441096,HG01509,EUR,IBS,Iberian populations in Spain
313,119276.97243377702,26351.128536495722,7546.6821373942585,HG01510,EUR,IBS,Iberian populations in Spain
314,110654.7063779941,27252.759298598747,-6115.478709821661,HG01512,EUR,IBS,Iberian populations in Spain
315,101975.83796181918,28866.72483793406,2909.881767000842,HG01513,EUR,IBS,Iberian populations in Spain
316,112775.84602173974,20203.102646752763,2484.4838346429865,HG01515,EUR,IBS,Iberian populations in Spain
317,84647.85325200867,23501.78523853288,-17788.134574445678,HG01516,EUR,IBS,Iberian populations in Spain
318,80279.79030683494,29989.84780390452,10270.038270948537,HG01518,EUR,IBS,Iberian populations in Spain
319,123165.56105348316,16682.246411224813,6634.134691679173,HG01519,EUR,IBS,Iberian populations in Spain
320,99860.64906444575,26220.941446619854,18266.77998729924,HG01521,EUR,IBS,Iberian populations in Spain
