,PC1,PC2,PC3,sample_id,Super_Population,Population,Population_Description
564,-38379.073199577404,7171.389159026957,-21841.4029063315,NA07357,EUR,CEU,Utah residents with Northern and Western European ancestry
565,-45933.64555845116,9870.306453655616,15241.424850469912,NA10847,EUR,CEU,Utah residents with Northern and Western European ancestry
566,-53895.76631529655,6016.222738950045,826.1414559555357,NA10851,EUR,CEU,Utah residents with Northern and Western European ancestry
567,-52054.162039189694,17669.350808394505,8987.198877152898,NA11829,EUR,CEU,Utah residents with Northern and Western European ancestry
568,-44303.40464742106,-3224.2557735508067,10958.87892286328,NA11830,EUR,CEU,Utah residents with Northern and Western European ancestry
569,-51816.09710406479,11652.649403853844,3998.0597985237628,NA11831,EUR,CEU,Utah residents with Northern and Western European ancestry
570,-65537.48025250573,13801.405543432698,-11471.390693892765,NA11832,EUR,CEU,Utah residents with Northern and Western European ancestry
571,-57188.21638978301,3713.5940389451075,7052.870675503469,NA11840,EUR,CEU,Utah residents with Northern and Western European ancestry
572,-38048.877806904,-1359.1917772195284,-15665.314294915806,NA11843,EUR,CEU,Utah residents with Northern and Western European ancestry
573,-53913.13139039172,6990.833755611243,-13197.746856255495,NA11881,EUR,CEU,Utah residents with Northern and Western European ancestry
574,-49040.11092742595,9455.986050720612,-2214.1795762964816,NA11892,EUR,CEU,Utah residents with Northern and Western European ancestry
575,-46195.965519259844,17444.508336741277,19312.09198374219,NA11893,EUR,CEU,Utah residents with Northern and Western European ancestry
576,-66252.14568493281,7751.090116406435,-4884.486403904356,NA11894,EUR,CEU,Utah residents with Northern and Western European ancestry
577,-59163.27101114766,3461.4243761645234,-2839.6709170562017,NA11918,EUR,CEU,Utah residents with Northern and Western European ancestry
578,-45079.11677122158,8670.384168575752,13468.232356509148,NA11919,EUR,CEU,Utah residents with Northern and Western European ancestry
579,-46869.3382227414,6731.700080117354,-225.65841597062575,NA11920,EUR,CEU,Utah residents with Northern and Western European ancestry
580,-32681.922311018054,12386.304808605479,6238.164820505907,NA11930,EUR,CEU,Utah residents with Northern and Western European ancestry
581,-52092.83481847436,-965.9379024665392,-7283.931407597409,NA11931,EUR,CEU,Utah residents with Northern and Western European ancestry
582,-61967.22200105129,-2565.8589491074868,-5255.315276031179,NA11932,EUR,CEU,Utah residents with Northern and Western European ancestry
583,-51838.35128458918,1823.2438536337002,-599.3057218127888,NA11933,EUR,CEU,Utah residents with Northern and Western European ancestry
584,-56922.55316165146,2145.1704663422674,14292.222771036682,NA11992,EUR,CEU,Utah residents with Northern and Western European ancestry
585,-35475.11846265769,17280.676830121596,-21371.126976986357,NA11994,EUR,CEU,Utah residents with Northern and Western European ancestry
586,-58778.205680162726,2396.454073268419,-650.7987352414772,NA11995,EUR,CEU,Utah residents with Northern and Western European ancestry
587,-44298.412424728784,9829.226464961921,4592.469990125931,NA12003,EUR,CEU,Utah residents with Northern and Western European ancestry
588,-41019.411768635066,13004.932312943905,14347.214056428544,NA12004,EUR,CEU,Utah residents with Northern and Western European ancestry
589,-44146.184342837514,1945.656076433086,-2345.6964010888555,NA12005,EUR,CEU,Utah residents with Northern and Western European ancestry
590,-44069.223418622576,9752.558441084242,4379.893561411814,NA12006,EUR,CEU,Utah residents with Northern and Western European ancestry
591,-59316.35403104292,4638.772910365368,2957.988963253934,NA12043,EUR,CEU,Utah residents with Northern and Western European ancestry
592,-31441.44630971665,2597.340199602959,2344.6447387250914,NA12044,EUR,CEU,Utah residents with Northern and Western European ancestry
593,-55187.12823730763,11283.295176976082,-11792.081455083064,NA12045,EUR,CEU,Utah residents with Northern and Western European ancestry
594,-42971.80471436586,5490.470858724597,8091.712884359521,NA12046,EUR,CEU,Utah residents with Northern and Western European ancestry
595,-48507.00502719654,13440.122619026786,-207.2044077356536,NA12058,EUR,CEU,Utah residents with Northern and Western European ancestry
596,-50344.21748545904,-3872.4812048955196,1323.106470525042,NA12144,EUR,CEU,Utah residents with Northern and Western European ancestry
